Time [ms],Speed_target [m/s],Speed [m/s],Theta_Target [°], Theta [°]
1381,0,-0.01,-0.031,5.2
1386,0,-0.01,-0.035,5.298
1391,0,-0.01,-0.033,5.399
1396,0,-0.011,-0.033,5.53
1401,0,-0.009,-0.038,5.609
1406,0,-0.01,-0.032,5.709
1411,0,-0.011,-0.033,5.825
1416,0,-0.011,-0.037,5.935
1421,0,-0.011,-0.037,6.047
1426,0,-0.012,-0.037,6.178
1431,0,-0.011,-0.04,6.287
1436,0,-0.013,-0.038,6.439
1441,0,-0.013,-0.044,6.593
1446,0,-0.015,-0.046,6.798
1451,0,-0.015,-0.053,6.989
1456,0,-0.015,-0.053,7.186
1461,0,-0.017,-0.053,7.409
1466,0,-0.015,-0.058,7.587
1471,0,-0.015,-0.053,7.756
1476,0,-0.015,-0.051,7.935
1481,0,-0.017,-0.053,8.141
1486,0,-0.018,-0.058,8.378
1491,0,-0.018,-0.064,8.605
1496,0,-0.019,-0.063,8.845
1501,0,-0.02,-0.065,9.101
1506,0,-0.022,-0.069,9.391
1511,0,-0.022,-0.075,9.675
1516,0,-0.02,-0.075,9.925
1521,0,-0.023,-0.07,10.241
1526,0,-0.026,-0.08,10.612
1531,0,-0.025,-0.091,10.947
1536,0,-0.025,-0.088,11.276
1541,0,-0.027,-0.086,11.659
1546,0,-0.027,-0.095,12.035
1551,0,-0.027,-0.095,12.445
1556,0,-0.027,-0.095,12.877
1561,0,-0.027,-0.095,13.298
1566,0,-0.027,-0.095,13.76
1571,0,-0.027,-0.095,14.222
1576,0,-0.027,-0.095,14.753
1581,0,-0.027,-0.095,15.294
1586,0,-0.027,-0.095,15.806
1591,0,-0.027,-0.095,16.386
1596,0,-0.027,-0.095,17.018
1601,0,-0.027,-0.095,17.651
1606,0,-0.027,-0.095,18.37
1611,0,-0.027,-0.095,19.147
1616,0,-0.027,-0.095,19.91
1621,0,-0.027,-0.095,20.67
1626,0,-0.027,-0.095,21.542
1631,0,-0.027,-0.095,22.492
1636,0,-0.027,-0.095,23.536
1641,0,-0.027,-0.095,24.61
1646,0,-0.027,-0.095,25.739
1651,0,-0.027,-0.095,26.982
1656,0,-0.027,-0.095,28.339
1661,0,-0.027,-0.095,29.979
1666,0,-0.027,-0.095,31.592
1671,0,-0.027,-0.095,33.335
1676,0,-0.027,-0.095,35.401
1681,0,-0.027,-0.095,37.732
1686,0,-0.027,-0.095,40.738
1691,0,-0.027,-0.095,45.225
1696,0,-0.027,-0.095,49.234
1701,0,-0.027,-0.095,51.725
1706,0,-0.027,-0.095,53.81
1711,0,-0.027,-0.095,56.208
1716,0,-0.027,-0.095,58.141
1721,0,-0.027,-0.095,60.545
1726,0,-0.027,-0.095,62.282
1731,0,-0.027,-0.095,64.297
1736,0,-0.027,-0.095,65.999
1741,0,-0.027,-0.095,67.544
1746,0,-0.027,-0.095,69.002
1751,0,-0.027,-0.095,70.216
1756,0,-0.027,-0.095,70.981
1761,0,-0.027,-0.095,71.773
1766,0,-0.027,-0.095,72.137
1771,0,-0.027,-0.095,72.747
