Time [ms],Speed_target [m/s],Speed [m/s],Theta_Target [deg],Theta [deg],Position [m],Kpt,Tit,Tdt,Kpv,Tiv,Tdv
2488,0,-0.031,0.459,-0.59,-55.8,,,,,,
2493,0,-0.031,0.463,-0.559,-55.9,,,,,,
2498,0,-0.031,0.463,-0.516,-55.9,,,,,,
2503,0,-0.03,0.46,-0.494,-56,,,,,,
2508,0,-0.031,0.46,-0.485,-56,,,,,,
2513,0,-0.031,0.463,-0.445,-56.1,,,,,,
2518,0,-0.032,0.461,-0.462,-56.2,,,,,,
2523,0,-0.031,0.468,-0.42,-56.2,,,,,,
2528,0,-0.031,0.466,-0.398,-56.3,,,,,,
2533,0,-0.03,0.466,-0.326,-56.4,,,,,,
2538,0,-0.029,0.457,-0.283,-56.4,,,,,,
2543,0,-0.029,0.451,-0.272,-56.5,,,,,,
2548,0,-0.029,0.452,-0.27,-56.5,,,,,,
2553,0,-0.029,0.455,-0.254,-56.6,,,,,,
2558,0,-0.029,0.456,-0.23,-56.7,,,,,,
2563,0,-0.029,0.455,-0.198,-56.7,,,,,,
2568,0,-0.028,0.453,-0.156,-56.8,,,,,,
2573,0,-0.027,0.448,-0.135,-56.8,,,,,,
2578,0,-0.026,0.446,-0.069,-56.9,,,,,,
2584,0,-0.026,0.436,-0.062,-56.9,,,,,,
2589,0,-0.025,0.436,-0.028,-57,,,,,,
2594,0,-0.024,0.432,0.003,-57,,,,,,
2599,0,-0.023,0.428,0.033,-57.1,,,,,,
2604,0,-0.023,0.424,0.056,-57.1,,,,,,
2609,0,-0.021,0.421,0.125,-57.2,,,,,,
2614,0,-0.018,0.409,0.219,-57.2,,,,,,
2619,0,-0.016,0.391,0.257,-57.2,,,,,,
2624,0,-0.015,0.382,0.279,-57.3,,,,,,
2629,0,-0.014,0.376,0.312,-57.3,,,,,,
2634,0,-0.014,0.37,0.333,-57.3,,,,,,
2639,0,-0.013,0.365,0.34,-57.4,,,,,,
2644,0,-0.012,0.363,0.376,-57.4,,,,,,
2649,0,-0.011,0.357,0.415,-57.4,,,,,,
2654,0,-0.009,0.348,0.449,-57.4,,,,,,
2659,0,-0.008,0.34,0.471,-57.5,,,,,,
2664,0,-0.008,0.334,0.481,-57.5,,,,,,
2669,0,-0.006,0.331,0.521,-57.5,,,,,,
2674,0,-0.004,0.322,0.569,-57.5,,,,,,
2679,0,-0.001,0.311,0.666,-57.5,,,,,,
2684,0,0.003,0.289,0.741,-57.5,,,,,,
2689,0,0.004,0.27,0.751,-57.5,,,,,,
2694,0,0.005,0.262,0.767,-57.5,,,,,,
2699,0,0.005,0.256,0.761,-57.5,,,,,,
2704,0,0.007,0.253,0.793,-57.5,,,,,,
2709,0,0.008,0.244,0.797,-57.5,,,,,,
2714,0,0.009,0.24,0.822,-57.4,,,,,,
2719,0,0.011,0.231,0.872,-57.4,,,,,,
2724,0,0.013,0.218,0.9,-57.4,,,,,,
2729,0,0.014,0.207,0.908,-57.4,,,,,,
2734,0,0.015,0.2,0.93,-57.4,,,,,,
2739,0,0.017,0.192,0.967,-57.3,,,,,,
2744,0,0.02,0.18,1.034,-57.3,,,,,,
2749,0,0.023,0.161,1.064,-57.2,,,,,,
2754,0,0.025,0.148,1.114,-57.2,,,,,,
2759,0,0.027,0.132,1.127,-57.2,,,,,,
2764,0,0.026,0.122,1.08,-57.1,,,,,,
2769,0,0.028,0.124,1.117,-57,,,,,,
2774,0,0.03,0.113,1.124,-57,,,,,,
2779,0,0.031,0.105,1.134,-56.9,,,,,,
2784,0,0.032,0.097,1.153,-56.9,,,,,,
2789,0,0.034,0.087,1.154,-56.8,,,,,,
2794,0,0.035,0.08,1.167,-56.7,,,,,,
2799,0,0.037,0.071,1.19,-56.7,,,,,,
2804,0,0.037,0.059,1.162,-56.6,,,,,,
2809,0,0.037,0.057,1.138,-56.5,,,,,,
2814,0,0.039,0.056,1.156,-56.4,,,,,,
2819,0,0.04,0.047,1.164,-56.4,,,,,,
2824,0,0.04,0.038,1.138,-56.3,,,,,,
2829,0,0.04,0.036,1.103,-56.2,,,,,,
2834,0,0.04,0.037,1.069,-56.1,,,,,,
2839,0,0.04,0.038,1.043,-56,,,,,,
2844,0,0.04,0.038,1.021,-56,,,,,,
2849,0,0.041,0.037,1.024,-55.9,,,,,,
2854,0,0.042,0.032,1.027,-55.8,,,,,,
2859,0,0.042,0.025,1.003,-55.7,,,,,,
2864,0,0.043,0.024,1.005,-55.6,,,,,,
2869,0,0.044,0.018,1.004,-55.6,,,,,,
2874,0,0.044,0.012,0.989,-55.5,,,,,,
2879,0,0.045,0.009,1.004,-55.4,,,,,,
2884,0,0.046,0.001,1.002,-55.3,,,,,,
2889,0,0.047,-0.005,0.986,-55.2,,,,,,
2895,0,0.047,-0.008,0.963,-55.1,,,,,,
2900,0,0.047,-0.01,0.935,-55,,,,,,
2905,0,0.047,-0.01,0.894,-54.9,,,,,,
2910,0,0.046,-0.008,0.843,-54.8,,,,,,
2915,0,0.044,-0.002,0.792,-54.7,,,,,,
2920,0,0.045,0.004,0.81,-54.6,,,,,,
2925,0,0.046,-0.002,0.808,-54.5,,,,,,
2930,0,0.046,-0.007,0.78,-54.5,,,,,,
2935,0,0.046,-0.007,0.77,-54.4,,,,,,
2940,0,0.046,-0.009,0.743,-54.3,,,,,,
2945,0,0.045,-0.009,0.7,-54.2,,,,,,
2950,0,0.045,-0.004,0.677,-54.1,,,,,,
2956,0,0.044,-0.003,0.631,-54,,,,,,
