Time [ms],Acceleration [m/s^2],Speed_target [m/s],Speed [m/s],Theta_Target [deg],Theta [deg],Position [m]
1985.000,-0.479,0.000,0.046,-1.190,-0.991,-209.5
2005.000,-14.152,0.000,0.033,-0.959,-1.353,-208.7
2025.000,-6.016,0.000,0.025,-0.700,-1.414,-208.1
2045.000,-22.454,0.000,0.007,-0.335,-1.844,-207.7
2065.000,-15.210,0.000,-0.013,0.225,-2.056,-207.7
2085.000,-24.102,0.000,-0.036,0.771,-2.406,-208.2
2105.000,-19.096,0.000,-0.060,1.433,-2.594,-209.1
2125.000,-21.289,0.000,-0.085,2.048,-2.774,-210.5
2145.000,-15.934,0.000,-0.106,2.644,-2.784,-212.3
2165.000,-10.933,0.000,-0.121,3.077,-2.631,-214.6
2185.000,-3.728,0.000,-0.129,3.334,-2.293,-217.1
2205.000,-5.129,0.000,-0.135,3.485,-1.994,-219.7
2225.000,6.371,0.000,-0.135,3.556,-1.478,-222.4
2245.000,15.691,0.000,-0.120,3.242,-0.738,-225.0
2265.000,15.237,0.000,-0.104,2.811,-0.114,-227.3
2285.000,20.181,0.000,-0.085,2.342,0.526,-229.3
2305.000,24.952,0.000,-0.061,1.757,1.165,-230.8
2325.000,25.013,0.000,-0.037,1.132,1.682,-231.8
2345.000,24.312,0.000,-0.012,0.472,2.111,-232.4
2365.000,23.343,0.000,0.013,-0.177,2.478,-232.4
