Time [ms],Speed_target [m/s],Speed [m/s],Theta_Target [°], Theta [°]
5623.000,-0.102,-0.075,1.641,0.103
5628.000,-0.101,-0.074,1.636,0.095
5633.000,-0.101,-0.073,1.641,0.092
5638.000,-0.100,-0.071,1.648,0.048
5643.000,-0.099,-0.068,1.677,0.023
5648.000,-0.099,-0.066,1.708,0.022
5653.000,-0.098,-0.065,1.728,0.031
5658.000,-0.097,-0.064,1.739,0.051
5663.000,-0.097,-0.064,1.738,0.061
5668.000,-0.096,-0.064,1.737,0.091
5673.000,-0.095,-0.064,1.725,0.119
5678.000,-0.095,-0.064,1.709,0.136
5683.000,-0.094,-0.063,1.695,0.098
5688.000,-0.093,-0.061,1.711,0.088
5693.000,-0.093,-0.059,1.728,0.080
5698.000,-0.092,-0.058,1.744,0.088
5703.000,-0.091,-0.057,1.752,0.090
5708.000,-0.091,-0.057,1.759,0.129
5713.000,-0.090,-0.058,1.747,0.166
5718.000,-0.089,-0.058,1.726,0.181
5723.000,-0.089,-0.058,1.711,0.199
5728.000,-0.088,-0.058,1.697,0.202
5733.000,-0.087,-0.058,1.691,0.213
5738.000,-0.087,-0.058,1.685,0.234
5743.000,-0.086,-0.059,1.674,0.298
5748.000,-0.085,-0.060,1.638,0.299
5753.000,-0.085,-0.060,1.620,0.319
5758.000,-0.084,-0.061,1.602,0.339
5763.000,-0.083,-0.062,1.584,0.378
5768.000,-0.083,-0.063,1.556,0.387
5773.000,-0.082,-0.063,1.536,0.388
5778.000,-0.081,-0.063,1.526,0.395
5783.000,-0.081,-0.063,1.516,0.418
5788.000,-0.080,-0.064,1.499,0.439
5793.000,-0.079,-0.064,1.479,0.461
5798.000,-0.079,-0.065,1.456,0.485
5803.000,-0.078,-0.065,1.431,0.474
5808.000,-0.077,-0.065,1.421,0.460
5813.000,-0.077,-0.064,1.421,0.457
5818.000,-0.076,-0.063,1.421,0.432
5823.000,-0.075,-0.062,1.431,0.450
5828.000,-0.075,-0.064,1.426,0.521
5833.000,-0.074,-0.065,1.385,0.522
5838.000,-0.073,-0.066,1.361,0.527
5843.000,-0.073,-0.066,1.343,0.525
5848.000,-0.072,-0.066,1.332,0.528
5853.000,-0.071,-0.064,1.321,0.469
5858.000,-0.071,-0.063,1.342,0.480
5863.000,-0.070,-0.063,1.345,0.515
5868.000,-0.069,-0.065,1.325,0.560
5873.000,-0.069,-0.065,1.288,0.539
5878.000,-0.068,-0.064,1.277,0.490
5883.000,-0.067,-0.061,1.292,0.446
5888.000,-0.067,-0.059,1.319,0.417
5893.000,-0.066,-0.057,1.344,0.399
5898.000,-0.065,-0.056,1.363,0.393
5903.000,-0.065,-0.055,1.374,0.393
5908.000,-0.064,-0.055,1.377,0.416
5913.000,-0.063,-0.055,1.366,0.433
5918.000,-0.063,-0.055,1.349,0.421
5923.000,-0.062,-0.053,1.344,0.379
5928.000,-0.061,-0.052,1.360,0.364
5933.000,-0.061,-0.049,1.374,0.310
5938.000,-0.060,-0.047,1.407,0.315
5943.000,-0.059,-0.045,1.420,0.280
5948.000,-0.059,-0.043,1.444,0.256
5953.000,-0.058,-0.041,1.467,0.249
5958.000,-0.057,-0.039,1.483,0.209
5963.000,-0.057,-0.035,1.511,0.150
5968.000,-0.056,-0.032,1.557,0.118
5973.000,-0.055,-0.029,1.598,0.089
5978.000,-0.055,-0.026,1.635,0.071
5983.000,-0.054,-0.024,1.666,0.046
5988.000,-0.053,-0.022,1.698,0.037
5993.000,-0.053,-0.020,1.723,0.044
5998.000,-0.052,-0.019,1.736,0.051

6003.000,-0.051,-0.018,1.743,0.051
6008.000,-0.051,-0.016,1.751,0.034
6013.000,-0.050,-0.014,1.768,0.014
6018.000,-0.049,-0.012,1.791,0.010
6023.000,-0.049,-0.011,1.810,0.022
6028.000,-0.048,-0.010,1.819,0.026
6033.000,-0.047,-0.009,1.826,0.039
6038.000,-0.047,-0.008,1.829,0.039
6043.000,-0.046,-0.008,1.835,0.081
6048.000,-0.045,-0.008,1.822,0.103
6053.000,-0.045,-0.006,1.809,0.047
6058.000,-0.044,-0.003,1.836,0.033
6063.000,-0.043,-0.002,1.862,0.031
6068.000,-0.043,-0.001,1.881,0.069
6073.000,-0.042,-0.000,1.877,0.070
6078.000,-0.041,0.000,1.880,0.088
6083.000,-0.041,0.001,1.878,0.082
6088.000,-0.040,0.003,1.884,0.081
6093.000,-0.039,0.004,1.894,0.089
6098.000,-0.039,0.004,1.900,0.118
6103.000,-0.038,0.005,1.893,0.104
6108.000,-0.037,0.006,1.903,0.104
6113.000,-0.037,0.006,1.912,0.165
6118.000,-0.036,0.005,1.891,0.198
6123.000,-0.035,0.005,1.869,0.202
6128.000,-0.035,0.005,1.860,0.226
6133.000,-0.034,0.004,1.847,0.253
6138.000,-0.033,0.003,1.831,0.306
6143.000,-0.033,0.003,1.799,0.295
6148.000,-0.032,0.004,1.791,0.283
6153.000,-0.031,0.005,1.796,0.280
6158.000,-0.031,0.005,1.802,0.330
6163.000,-0.030,0.003,1.783,0.395
6168.000,-0.029,0.002,1.743,0.416
6173.000,-0.029,0.001,1.713,0.438
6178.000,-0.028,-0.001,1.688,0.481
6183.000,-0.027,-0.001,1.654,0.481
6188.000,-0.027,-0.002,1.636,0.504
6193.000,-0.026,-0.004,1.616,0.573
6198.000,-0.025,-0.005,1.569,0.572
6203.000,-0.025,-0.006,1.545,0.580
6208.000,-0.024,-0.007,1.526,0.605
6213.000,-0.023,-0.007,1.502,0.622
6218.000,-0.023,-0.009,1.479,0.652
6223.000,-0.022,-0.009,1.449,0.663
6228.000,-0.021,-0.011,1.425,0.688
6233.000,-0.021,-0.012,1.396,0.712
6238.000,-0.020,-0.013,1.365,0.727
6243.000,-0.019,-0.013,1.337,0.718
6248.000,-0.019,-0.013,1.323,0.701
6253.000,-0.018,-0.012,1.319,0.679
6258.000,-0.017,-0.011,1.323,0.661
6263.000,-0.017,-0.010,1.329,0.650
6268.000,-0.016,-0.009,1.333,0.641
6273.000,-0.015,-0.010,1.335,0.670
6278.000,-0.015,-0.009,1.317,0.639
6283.000,-0.014,-0.009,1.319,0.651
6288.000,-0.013,-0.009,1.309,0.649
6293.000,-0.013,-0.008,1.301,0.627
6298.000,-0.012,-0.006,1.303,0.575
6303.000,-0.011,-0.003,1.326,0.529
6308.000,-0.011,-0.002,1.357,0.539
6313.000,-0.010,-0.002,1.364,0.570
6318.000,-0.009,-0.002,1.349,0.569
6323.000,-0.009,-0.004,1.338,0.613
6328.000,-0.008,-0.005,1.307,0.630
6333.000,-0.007,-0.005,1.278,0.617
6338.000,-0.007,-0.005,1.265,0.625
6343.000,-0.006,-0.006,1.249,0.638
6348.000,-0.005,-0.007,1.230,0.662
6353.000,-0.005,-0.006,1.203,0.622
6358.000,-0.004,-0.005,1.203,0.608
6363.000,-0.003,-0.005,1.206,0.595
6368.000,-0.003,-0.004,1.208,0.585
6373.000,-0.002,-0.004,1.209,0.590
6378.000,-0.001,-0.002,1.202,0.536
6383.000,-0.001,-0.001,1.221,0.545
6388.000,0.000,-0.000,1.223,0.526
6393.000,0.001,0.002,1.230,0.496
6398.000,0.001,0.003,1.244,0.479
6403.000,0.002,0.006,1.256,0.409
6408.000,0.003,0.008,1.293,0.386
6413.000,0.003,0.010,1.321,0.394
6418.000,0.004,0.011,1.329,0.366
6423.000,0.005,0.013,1.345,0.356
6428.000,0.005,0.013,1.356,0.369
6433.000,0.006,0.014,1.353,0.343
6438.000,0.007,0.016,1.363,0.316
6443.000,0.007,0.017,1.380,0.316
6448.000,0.008,0.018,1.388,0.317
6453.000,0.009,0.020,1.389,0.280
6458.000,0.009,0.022,1.408,0.246
6463.000,0.010,0.025,1.435,0.217
6468.000,0.011,0.026,1.462,0.218
6473.000,0.011,0.028,1.476,0.211
6478.000,0.012,0.029,1.487,0.197
6483.000,0.013,0.031,1.500,0.172
6488.000,0.013,0.033,1.521,0.152
6493.000,0.014,0.036,1.542,0.123
6498.000,0.015,0.038,1.569,0.093
6503.000,0.015,0.041,1.601,0.074
6508.000,0.016,0.041,1.629,0.106
6513.000,0.017,0.041,1.630,0.135
6518.000,0.017,0.041,1.618,0.148
6523.000,0.018,0.042,1.608,0.135
6528.000,0.019,0.044,1.612,0.110
6533.000,0.019,0.046,1.630,0.103
6538.000,0.020,0.047,1.644,0.100
6543.000,0.021,0.048,1.656,0.113
6548.000,0.021,0.048,1.659,0.130
6553.000,0.022,0.047,1.655,0.186
6558.000,0.023,0.046,1.627,0.216
6563.000,0.023,0.044,1.599,0.272
6568.000,0.024,0.043,1.559,0.286
6573.000,0.025,0.042,1.532,0.299
6578.000,0.025,0.040,1.512,0.364
6583.000,0.026,0.038,1.470,0.430
6588.000,0.027,0.035,1.414,0.471
6593.000,0.027,0.033,1.363,0.490
6598.000,0.028,0.031,1.325,0.548
6603.000,0.029,0.028,1.273,0.602

6608.000,0.029,0.026,1.216,0.598
6613.000,0.030,0.024,1.183,0.644
6618.000,0.031,0.022,1.138,0.681
6623.000,0.031,0.019,1.091,0.714
6628.000,0.032,0.016,1.043,0.774
6633.000,0.033,0.012,0.981,0.840
6638.000,0.033,0.008,0.907,0.880
6643.000,0.034,0.006,0.840,0.900
6648.000,0.035,0.004,0.786,0.882
6653.000,0.035,0.003,0.756,0.883
6658.000,0.036,0.002,0.729,0.881
6663.000,0.037,0.001,0.704,0.889
6668.000,0.037,-0.001,0.676,0.928
6673.000,0.038,-0.004,0.629,0.965
6678.000,0.039,-0.007,0.574,1.009
6683.000,0.039,-0.011,0.509,1.066
6688.000,0.040,-0.016,0.433,1.108
6693.000,0.041,-0.018,0.358,1.095
6698.000,0.041,-0.020,0.309,1.088
6703.000,0.042,-0.022,0.270,1.091
6708.000,0.043,-0.023,0.232,1.092
6713.000,0.043,-0.024,0.194,1.076
6718.000,0.044,-0.026,0.165,1.081
6723.000,0.045,-0.029,0.129,1.123
6728.000,0.045,-0.032,0.071,1.143
6733.000,0.046,-0.034,0.011,1.115
6738.000,0.047,-0.035,-0.025,1.100
6743.000,0.047,-0.035,-0.056,1.058
6748.000,0.048,-0.036,-0.071,1.043
6753.000,0.049,-0.037,-0.091,1.022
6758.000,0.049,-0.036,-0.111,0.969
6763.000,0.050,-0.035,-0.115,0.925
6768.000,0.051,-0.037,-0.114,0.950
6773.000,0.051,-0.038,-0.147,0.940
6778.000,0.052,-0.038,-0.178,0.879
6783.000,0.053,-0.036,-0.183,0.803
6788.000,0.053,-0.033,-0.167,0.702
6793.000,0.054,-0.030,-0.127,0.629
6798.000,0.055,-0.027,-0.087,0.583
6803.000,0.055,-0.025,-0.061,0.544
6808.000,0.056,-0.025,-0.044,0.523
6813.000,0.057,-0.023,-0.041,0.481
6818.000,0.057,-0.021,-0.033,0.401
6823.000,0.058,-0.018,-0.004,0.325
6828.000,0.059,-0.015,0.035,0.272
6833.000,0.059,-0.012,0.068,0.211
6838.000,0.060,-0.009,0.104,0.162
6843.000,0.061,-0.006,0.135,0.083
6848.000,0.061,-0.003,0.180,0.043
6853.000,0.062,-0.001,0.213,0.005
6858.000,0.063,0.002,0.240,-0.044
6863.000,0.063,0.005,0.270,-0.111
6868.000,0.064,0.009,0.311,-0.170
6873.000,0.065,0.014,0.354,-0.277
6878.000,0.065,0.018,0.425,-0.336
6883.000,0.066,0.022,0.485,-0.383
6888.000,0.067,0.026,0.537,-0.416
6893.000,0.067,0.028,0.576,-0.433
6898.000,0.068,0.031,0.603,-0.476
6903.000,0.069,0.034,0.637,-0.516
6908.000,0.069,0.037,0.673,-0.548
6913.000,0.070,0.039,0.707,-0.563
6918.000,0.071,0.041,0.732,-0.580
6923.000,0.071,0.043,0.754,-0.599
6928.000,0.072,0.045,0.776,-0.626
6933.000,0.073,0.048,0.802,-0.672
6938.000,0.073,0.050,0.840,-0.665
6943.000,0.074,0.052,0.858,-0.668
6948.000,0.075,0.052,0.871,-0.628
6953.000,0.075,0.053,0.861,-0.640
6958.000,0.076,0.055,0.864,-0.681
6963.000,0.077,0.057,0.889,-0.702
6968.000,0.077,0.059,0.915,-0.694
6973.000,0.078,0.061,0.928,-0.731
6978.000,0.079,0.062,0.956,-0.695
6983.000,0.079,0.063,0.957,-0.710
6988.000,0.080,0.063,0.968,-0.672
6993.000,0.081,0.064,0.959,-0.662
6998.000,0.081,0.065,0.953,-0.670
7003.000,0.082,0.065,0.957,-0.650
7008.000,0.083,0.066,0.952,-0.662
7013.000,0.083,0.066,0.960,-0.612
7018.000,0.084,0.065,0.942,-0.591
7023.000,0.085,0.063,0.925,-0.527
7028.000,0.085,0.062,0.886,-0.501
7033.000,0.086,0.061,0.856,-0.472
7038.000,0.087,0.061,0.827,-0.483
7043.000,0.087,0.061,0.818,-0.480
7048.000,0.088,0.062,0.813,-0.472
7053.000,0.089,0.061,0.807,-0.445
7058.000,0.089,0.060,0.791,-0.405
7063.000,0.090,0.059,0.763,-0.370
7068.000,0.091,0.057,0.730,-0.336
7073.000,0.091,0.057,0.696,-0.327
7078.000,0.092,0.056,0.672,-0.305
7083.000,0.093,0.055,0.648,-0.285
7088.000,0.093,0.053,0.622,-0.238
7093.000,0.094,0.051,0.583,-0.190
7098.000,0.095,0.049,0.536,-0.183
7103.000,0.095,0.047,0.504,-0.138
7108.000,0.096,0.045,0.460,-0.094
7113.000,0.097,0.043,0.410,-0.069
7118.000,0.097,0.041,0.367,-0.050
7123.000,0.098,0.038,0.328,0.012
7128.000,0.099,0.035,0.269,0.045
7133.000,0.099,0.032,0.215,0.082
7138.000,0.100,0.031,0.159,0.072
7143.000,0.101,0.029,0.127,0.086
7148.000,0.101,0.028,0.093,0.092
7153.000,0.102,0.026,0.063,0.132
7158.000,0.103,0.023,0.016,0.155
7163.000,0.103,0.021,-0.031,0.177
7168.000,0.104,0.020,-0.078,0.147
7173.000,0.105,0.019,-0.099,0.155
7178.000,0.105,0.019,-0.127,0.132
7183.000,0.106,0.019,-0.143,0.124
7188.000,0.107,0.018,-0.159,0.111
7193.000,0.107,0.019,-0.174,0.083
7198.000,0.108,0.019,-0.181,0.057
7203.000,0.109,0.019,-0.184,0.054
7208.000,0.109,0.018,-0.197,0.081

7213.000,0.110,0.017,-0.230,0.060
7218.000,0.111,0.016,-0.249,0.053
7223.000,0.111,0.017,-0.268,0.007
7228.000,0.112,0.019,-0.269,-0.045
7233.000,0.113,0.019,-0.255,-0.034
7238.000,0.113,0.019,-0.267,-0.066
7243.000,0.114,0.020,-0.269,-0.096
7248.000,0.115,0.021,-0.267,-0.135
7253.000,0.115,0.021,-0.259,-0.120
7258.000,0.116,0.022,-0.274,-0.169
7263.000,0.117,0.024,-0.269,-0.216
7268.000,0.117,0.025,-0.254,-0.250
7273.000,0.118,0.025,-0.240,-0.246
7278.000,0.119,0.027,-0.246,-0.293
7283.000,0.119,0.026,-0.236,-0.269
7288.000,0.120,0.027,-0.253,-0.299
7293.000,0.121,0.026,-0.257,-0.272
7298.000,0.121,0.025,-0.283,-0.283
7303.000,0.122,0.025,-0.302,-0.280
7308.000,0.123,0.024,-0.323,-0.294
7313.000,0.123,0.025,-0.339,-0.324
7318.000,0.124,0.025,-0.342,-0.326
7323.000,0.125,0.026,-0.354,-0.370
7328.000,0.125,0.026,-0.348,-0.370
7333.000,0.126,0.027,-0.356,-0.417
7338.000,0.127,0.027,-0.347,-0.412
7343.000,0.127,0.028,-0.355,-0.431
7348.000,0.128,0.029,-0.359,-0.466
7353.000,0.129,0.028,-0.354,-0.444
7358.000,0.129,0.029,-0.372,-0.475
7363.000,0.130,0.029,-0.376,-0.482
7368.000,0.131,0.029,-0.384,-0.477
7373.000,0.131,0.029,-0.401,-0.499
7378.000,0.132,0.030,-0.408,-0.538
7383.000,0.133,0.030,-0.401,-0.545
7388.000,0.133,0.031,-0.404,-0.567
7393.000,0.134,0.031,-0.405,-0.567
7398.000,0.135,0.031,-0.414,-0.579
7403.000,0.135,0.032,-0.422,-0.590
7408.000,0.136,0.033,-0.430,-0.629
7413.000,0.137,0.034,-0.423,-0.655
7418.000,0.137,0.034,-0.416,-0.649
7423.000,0.138,0.036,-0.424,-0.704
7428.000,0.139,0.037,-0.409,-0.713
7433.000,0.139,0.038,-0.405,-0.733
7438.000,0.140,0.038,-0.401,-0.736
7443.000,0.141,0.039,-0.405,-0.758
7448.000,0.141,0.039,-0.404,-0.773
7453.000,0.142,0.040,-0.403,-0.778
7458.000,0.143,0.040,-0.408,-0.785
7463.000,0.143,0.040,-0.414,-0.781
7468.000,0.144,0.040,-0.427,-0.792
7473.000,0.145,0.040,-0.436,-0.785
7478.000,0.145,0.039,-0.452,-0.781
7483.000,0.146,0.039,-0.469,-0.784
7488.000,0.147,0.039,-0.485,-0.796
7493.000,0.147,0.040,-0.495,-0.835
7498.000,0.148,0.041,-0.488,-0.836
7503.000,0.149,0.040,-0.492,-0.807
7508.000,0.149,0.039,-0.516,-0.797
7513.000,0.150,0.038,-0.542,-0.799
7518.000,0.151,0.038,-0.563,-0.801
7523.000,0.151,0.037,-0.581,-0.777
7528.000,0.152,0.036,-0.611,-0.772
7533.000,0.153,0.035,-0.638,-0.792
7538.000,0.153,0.035,-0.651,-0.793
7543.000,0.154,0.036,-0.667,-0.827
7548.000,0.155,0.036,-0.667,-0.844
7553.000,0.155,0.037,-0.668,-0.849
7558.000,0.156,0.037,-0.676,-0.866
7563.000,0.157,0.036,-0.680,-0.839
7568.000,0.157,0.035,-0.705,-0.823
7573.000,0.158,0.035,-0.735,-0.844
7578.000,0.159,0.034,-0.750,-0.851
7583.000,0.159,0.034,-0.764,-0.852
7588.000,0.160,0.033,-0.781,-0.826
7593.000,0.161,0.033,-0.813,-0.850
7598.000,0.161,0.031,-0.827,-0.830
7603.000,0.162,0.031,-0.855,-0.853
7608.000,0.163,0.031,-0.868,-0.845
7613.000,0.163,0.030,-0.890,-0.842
7618.000,0.164,0.029,-0.914,-0.851
7623.000,0.165,0.029,-0.933,-0.849
7628.000,0.165,0.027,-0.955,-0.817
7633.000,0.166,0.026,-0.995,-0.844
7638.000,0.167,0.026,-1.013,-0.853
7643.000,0.167,0.026,-1.030,-0.867
7648.000,0.168,0.025,-1.044,-0.874
7653.000,0.169,0.026,-1.060,-0.917
7658.000,0.169,0.027,-1.058,-0.939
7663.000,0.170,0.028,-1.059,-0.973
7668.000,0.171,0.029,-1.053,-1.011
7673.000,0.171,0.031,-1.043,-1.054
7678.000,0.172,0.033,-1.027,-1.091
7683.000,0.173,0.034,-1.011,-1.104
7688.000,0.173,0.035,-1.006,-1.137
7693.000,0.174,0.037,-0.997,-1.184
7698.000,0.175,0.038,-0.979,-1.211
7703.000,0.175,0.040,-0.965,-1.240
7708.000,0.176,0.042,-0.952,-1.272
7713.000,0.177,0.043,-0.937,-1.293
7718.000,0.177,0.044,-0.927,-1.321
7723.000,0.178,0.046,-0.915,-1.357
7728.000,0.179,0.048,-0.899,-1.405
7733.000,0.179,0.050,-0.873,-1.432
7738.000,0.180,0.052,-0.852,-1.451
7743.000,0.181,0.054,-0.838,-1.497
7748.000,0.181,0.056,-0.813,-1.503
7753.000,0.182,0.057,-0.803,-1.534
7758.000,0.183,0.059,-0.786,-1.553
7763.000,0.183,0.060,-0.773,-1.559
7768.000,0.184,0.059,-0.767,-1.512
7773.000,0.185,0.059,-0.792,-1.523
7778.000,0.185,0.060,-0.804,-1.550
7783.000,0.186,0.062,-0.800,-1.599
7788.000,0.187,0.065,-0.778,-1.644
7793.000,0.187,0.067,-0.748,-1.658
7798.000,0.188,0.068,-0.729,-1.661

7803.000,0.189,0.069,-0.720,-1.683
7808.000,0.189,0.071,-0.708,-1.702
7813.000,0.190,0.072,-0.694,-1.708
7818.000,0.191,0.073,-0.686,-1.721
7823.000,0.191,0.075,-0.677,-1.750
7828.000,0.192,0.076,-0.660,-1.758
7833.000,0.193,0.078,-0.648,-1.770
7838.000,0.193,0.079,-0.638,-1.770
7843.000,0.194,0.079,-0.634,-1.764
7848.000,0.195,0.081,-0.636,-1.787
7853.000,0.195,0.082,-0.626,-1.795
7858.000,0.196,0.083,-0.618,-1.786
7863.000,0.197,0.083,-0.619,-1.784
7868.000,0.197,0.084,-0.621,-1.797
7873.000,0.198,0.084,-0.616,-1.781
7878.000,0.199,0.085,-0.623,-1.793
7883.000,0.199,0.086,-0.621,-1.794
7888.000,0.200,0.085,-0.620,-1.760
7893.000,0.200,0.087,-0.627,-1.784
7898.000,0.200,0.088,-0.609,-1.801
7903.000,0.200,0.091,-0.581,-1.818
7908.000,0.200,0.094,-0.548,-1.857
7913.000,0.200,0.096,-0.501,-1.851
7918.000,0.200,0.099,-0.469,-1.894
7923.000,0.200,0.101,-0.420,-1.887
7928.000,0.200,0.102,-0.386,-1.863
7933.000,0.200,0.104,-0.368,-1.884
7938.000,0.200,0.105,-0.336,-1.856
7943.000,0.200,0.107,-0.322,-1.881
7948.000,0.200,0.109,-0.288,-1.870
7953.000,0.200,0.111,-0.264,-1.869
7958.000,0.200,0.111,-0.238,-1.842
7963.000,0.200,0.113,-0.225,-1.845
7968.000,0.200,0.113,-0.204,-1.802
7973.000,0.200,0.114,-0.201,-1.791
7978.000,0.200,0.114,-0.191,-1.773
7983.000,0.200,0.116,-0.182,-1.788
7988.000,0.200,0.117,-0.156,-1.782
7993.000,0.200,0.119,-0.133,-1.773
7998.000,0.200,0.119,-0.111,-1.742
8003.000,0.200,0.120,-0.102,-1.721
8008.000,0.200,0.120,-0.094,-1.679
8013.000,0.200,0.120,-0.098,-1.658
8018.000,0.200,0.120,-0.097,-1.648
8023.000,0.200,0.122,-0.088,-1.671
8028.000,0.200,0.125,-0.059,-1.702
8033.000,0.200,0.126,-0.015,-1.673
8038.000,0.200,0.127,0.007,-1.629
8043.000,0.200,0.127,0.010,-1.597
8048.000,0.200,0.127,0.009,-1.598
8053.000,0.200,0.128,0.023,-1.586
8058.000,0.200,0.130,0.038,-1.585
8063.000,0.200,0.132,0.058,-1.604
8068.000,0.200,0.134,0.092,-1.614
8073.000,0.200,0.135,0.129,-1.577
8078.000,0.200,0.136,0.144,-1.555
8083.000,0.200,0.136,0.154,-1.518
8088.000,0.200,0.137,0.156,-1.510
8093.000,0.200,0.137,0.166,-1.472
8098.000,0.200,0.136,0.167,-1.434
8103.000,0.200,0.137,0.162,-1.439
8108.000,0.200,0.138,0.175,-1.425
8113.000,0.200,0.139,0.189,-1.423
8118.000,0.200,0.140,0.208,-1.400
8123.000,0.200,0.141,0.220,-1.376
8128.000,0.200,0.142,0.228,-1.372
8133.000,0.200,0.143,0.243,-1.365
8138.000,0.200,0.144,0.261,-1.362
8143.000,0.200,0.144,0.283,-1.316
8148.000,0.200,0.144,0.284,-1.283
8153.000,0.200,0.144,0.282,-1.247
8158.000,0.200,0.142,0.276,-1.180
8163.000,0.200,0.140,0.252,-1.115
8168.000,0.200,0.138,0.219,-1.068
8173.000,0.200,0.136,0.189,-1.016
8178.000,0.200,0.135,0.159,-0.969
8183.000,0.200,0.135,0.130,-1.006
8188.000,0.200,0.136,0.144,-0.992
8193.000,0.200,0.135,0.153,-0.944
8198.000,0.200,0.136,0.143,-0.960
8203.000,0.200,0.135,0.155,-0.899
8208.000,0.200,0.134,0.140,-0.863
8213.000,0.200,0.133,0.122,-0.828
8218.000,0.200,0.133,0.104,-0.820
8223.000,0.200,0.132,0.099,-0.802
8228.000,0.200,0.132,0.095,-0.766
8233.000,0.200,0.131,0.082,-0.753
8238.000,0.200,0.130,0.076,-0.693
8243.000,0.200,0.128,0.050,-0.671
8248.000,0.200,0.128,0.031,-0.659
8253.000,0.200,0.128,0.022,-0.675
8258.000,0.200,0.130,0.031,-0.700
8263.000,0.200,0.132,0.054,-0.737
8268.000,0.200,0.134,0.091,-0.747
8273.000,0.200,0.136,0.122,-0.741
8278.000,0.200,0.136,0.141,-0.710
8283.000,0.200,0.136,0.143,-0.689
8288.000,0.200,0.133,0.140,-0.605
8293.000,0.200,0.132,0.103,-0.602
8298.000,0.200,0.132,0.088,-0.594
8303.000,0.200,0.133,0.083,-0.606
8308.000,0.200,0.133,0.092,-0.604
8313.000,0.200,0.135,0.101,-0.637
8318.000,0.200,0.136,0.129,-0.644
8323.000,0.200,0.137,0.153,-0.632
8328.000,0.200,0.139,0.165,-0.653
8333.000,0.200,0.139,0.189,-0.629
8338.000,0.200,0.139,0.195,-0.612
8343.000,0.200,0.139,0.197,-0.585
8348.000,0.200,0.141,0.191,-0.628
8353.000,0.200,0.142,0.216,-0.627
8358.000,0.200,0.142,0.236,-0.613
8363.000,0.200,0.143,0.246,-0.601
8368.000,0.200,0.143,0.252,-0.581
8373.000,0.200,0.142,0.252,-0.553
8378.000,0.200,0.142,0.245,-0.534
8383.000,0.200,0.140,0.238,-0.467
8388.000,0.200,0.138,0.207,-0.436
8393.000,0.200,0.138,0.181,-0.438
8398.000,0.200,0.139,0.175,-0.480

8403.000,0.200,0.141,0.198,-0.492
8408.000,0.200,0.142,0.222,-0.486
8413.000,0.200,0.143,0.236,-0.503
8418.000,0.200,0.144,0.259,-0.492
8423.000,0.200,0.144,0.271,-0.457
8428.000,0.200,0.143,0.265,-0.428
8433.000,0.200,0.141,0.254,-0.363
8438.000,0.200,0.139,0.220,-0.329
8443.000,0.200,0.138,0.191,-0.312
8448.000,0.200,0.137,0.172,-0.299
8453.000,0.200,0.136,0.160,-0.266
8458.000,0.200,0.136,0.141,-0.274
8463.000,0.200,0.137,0.139,-0.293
8468.000,0.200,0.138,0.151,-0.313
8473.000,0.200,0.140,0.171,-0.341
8478.000,0.200,0.142,0.199,-0.377
8483.000,0.200,0.144,0.236,-0.381
8488.000,0.200,0.144,0.262,-0.361
8493.000,0.200,0.145,0.270,-0.363
8498.000,0.200,0.145,0.280,-0.336
8503.000,0.200,0.144,0.277,-0.299
8508.000,0.200,0.143,0.262,-0.280
8513.000,0.200,0.141,0.249,-0.232
8518.000,0.200,0.142,0.223,-0.255
8523.000,0.200,0.141,0.225,-0.223
8528.000,0.200,0.142,0.214,-0.258
8533.000,0.200,0.144,0.229,-0.298
8538.000,0.200,0.146,0.262,-0.317
8543.000,0.200,0.147,0.292,-0.318
8548.000,0.200,0.148,0.313,-0.316
8553.000,0.200,0.149,0.328,-0.318
8558.000,0.200,0.150,0.342,-0.325
8563.000,0.200,0.150,0.358,-0.280
8568.000,0.200,0.150,0.349,-0.299
8573.000,0.200,0.150,0.359,-0.278
8578.000,0.200,0.150,0.360,-0.265
8583.000,0.200,0.150,0.359,-0.258
8588.000,0.200,0.150,0.359,-0.240
8593.000,0.200,0.150,0.356,-0.247
8598.000,0.200,0.149,0.363,-0.178
8603.000,0.200,0.148,0.336,-0.179
8608.000,0.200,0.149,0.328,-0.212
8613.000,0.200,0.151,0.344,-0.245
8618.000,0.200,0.151,0.374,-0.196
8623.000,0.200,0.150,0.369,-0.162
8628.000,0.200,0.149,0.355,-0.136
8633.000,0.200,0.148,0.338,-0.109
8638.000,0.200,0.147,0.320,-0.081
8643.000,0.200,0.145,0.300,-0.044
8648.000,0.200,0.143,0.275,-0.010
8653.000,0.200,0.142,0.247,0.017
8658.000,0.200,0.140,0.221,0.037
8663.000,0.200,0.140,0.200,0.018
8668.000,0.200,0.141,0.200,0.003
8673.000,0.200,0.142,0.209,-0.025
8678.000,0.200,0.144,0.230,-0.062
8683.000,0.200,0.145,0.261,-0.050
8688.000,0.200,0.145,0.273,-0.042
8693.000,0.200,0.144,0.278,0.003
8698.000,0.200,0.142,0.260,0.054
8703.000,0.200,0.139,0.227,0.117
8708.000,0.200,0.136,0.179,0.174
8713.000,0.200,0.133,0.127,0.209
8718.000,0.200,0.130,0.082,0.248
8723.000,0.200,0.128,0.038,0.250
8728.000,0.200,0.126,0.013,0.291
8733.000,0.200,0.124,-0.023,0.308
